group_letter,group_rank,team_name,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_difference
A,1,Mexico,3,3,0,0,9,4,0,4
A,2,South Korea,3,2,0,1,6,3,1,2
A,3,Czechia,3,1,0,2,3,1,2,-1
A,4,South Africa,3,0,0,3,0,0,5,-5
B,1,Switzerland,3,3,0,0,9,5,0,5
B,2,Canada,3,2,0,1,6,4,1,3
B,3,Bosnia and Herzegovina,3,0,1,2,1,1,5,-4
B,4,Qatar,3,0,1,2,1,1,5,-4
C,1,Brazil,3,2,1,0,7,4,1,3
C,2,Morocco,3,1,1,1,4,2,2,0
C,3,Scotland,3,0,3,0,3,3,3,0
C,4,Haiti,3,0,1,2,1,1,4,-3
D,1,USA,3,2,1,0,7,3,1,2
D,2,Turkiye,3,1,2,0,5,3,2,1
D,3,Paraguay,3,1,0,2,3,1,2,-1
D,4,Australia,3,0,1,2,1,1,3,-2
E,1,Germany,3,2,1,0,7,4,1,3
E,2,Ecuador,3,1,2,0,5,3,1,2
E,3,Côte d'Ivoire,3,0,2,1,2,1,2,-1
E,4,Curaçao,3,0,1,2,1,1,5,-4
F,1,Netherlands,3,3,0,0,9,5,0,5
F,2,Japan,3,2,0,1,6,4,1,3
F,3,Sweden,3,1,0,2,3,1,4,-3
F,4,Tunisia,3,0,0,3,0,0,5,-5
G,1,Belgium,3,3,0,0,9,4,0,4
G,2,Iran,3,1,1,1,4,2,2,0
G,3,Egypt,3,0,2,1,2,2,3,-1
G,4,New Zealand,3,0,1,2,1,1,4,-3
H,1,Spain,3,2,1,0,7,6,1,5
H,2,Uruguay,3,1,2,0,5,4,2,2
H,3,Cabo Verde,3,1,0,2,3,1,5,-4
H,4,Saudi Arabia,3,0,1,2,1,1,4,-3
I,1,France,3,2,1,0,7,4,1,3
I,2,Norway,3,1,2,0,5,3,2,1
I,3,Senegal,3,1,0,2,3,1,2,-1
I,4,Iraq,3,0,1,2,1,1,4,-3
J,1,Argentina,3,3,0,0,9,7,0,7
J,2,Austria,3,1,1,1,4,2,3,-1
J,3,Algeria,3,0,2,1,2,2,4,-2
J,4,Jordan,3,0,1,2,1,1,5,-4
K,1,Portugal,3,2,1,0,7,4,1,3
K,2,Colombia,3,1,2,0,5,4,2,2
K,3,Uzbekistan,3,0,2,1,2,2,3,-1
K,4,Congo DR,3,0,1,2,1,1,5,-4
L,1,England,3,2,1,0,7,5,2,3
L,2,Panama,3,1,2,0,5,4,2,2
L,3,Croatia,3,1,1,1,4,4,3,1
L,4,Ghana,3,0,0,3,0,0,6,-6
