match_year,tournament,matches,avg_total_goals,avg_goal_margin,home_win_rate,away_win_rate,draw_rate,neutral_match_rate,fifa_feature_coverage,external_feature_coverage
1877,Friendly,1,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
1878,Friendly,1,9.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
1879,Friendly,1,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1880,Friendly,3,6.667,2.0,0.667,0.333,0.0,0.0,0.0,1.0
1881,Friendly,3,4.667,3.333,0.0,1.0,0.0,0.0,0.0,1.0
1882,Friendly,3,6.333,3.667,1.0,0.0,0.0,0.0,0.0,1.0
1883,Friendly,3,4.333,3.0,0.333,0.667,0.0,0.0,0.0,1.0
1884,British Home Championship,5,5.0,4.2,0.6,0.4,0.0,0.0,0.0,0.6
1885,British Home Championship,6,6.167,3.833,0.333,0.333,0.333,0.0,0.0,0.5
1886,British Home Championship,6,5.333,3.333,0.333,0.5,0.167,0.0,0.0,0.5
1887,British Home Championship,6,4.667,3.333,0.667,0.333,0.0,0.0,0.0,0.5
1888,British Home Championship,6,7.667,6.0,0.5,0.5,0.0,0.0,0.0,0.5
1889,British Home Championship,6,4.667,3.0,0.5,0.333,0.167,0.0,0.0,0.5
1890,British Home Championship,6,5.5,3.5,0.333,0.5,0.167,0.167,0.0,0.5
1891,British Home Championship,6,5.667,2.667,0.833,0.167,0.0,0.0,0.0,0.5
1892,British Home Championship,6,3.833,2.167,0.167,0.667,0.167,0.0,0.0,0.5
1893,British Home Championship,5,7.0,5.4,0.8,0.2,0.0,0.0,0.0,0.6
1894,British Home Championship,6,4.833,1.833,0.333,0.333,0.333,0.0,0.0,0.5
1895,British Home Championship,6,4.333,2.333,0.5,0.0,0.5,0.0,0.0,0.5
1896,British Home Championship,6,5.333,3.333,0.5,0.333,0.167,0.0,0.0,0.5
1897,British Home Championship,6,5.0,2.667,0.667,0.167,0.167,0.0,0.0,0.5
1898,British Home Championship,6,3.833,2.167,0.167,0.833,0.0,0.0,0.0,0.5
1899,British Home Championship,6,6.5,5.167,0.833,0.167,0.0,0.0,0.0,0.5
1900,British Home Championship,6,3.5,2.167,0.5,0.333,0.167,0.0,0.0,0.5
1901,British Home Championship,6,4.5,3.5,0.5,0.167,0.333,0.0,0.0,0.5
1902,British Home Championship,6,3.333,2.0,0.167,0.5,0.333,0.0,0.0,0.5
1903,British Home Championship,6,2.5,1.833,0.5,0.5,0.0,0.0,0.0,0.5
1904,British Home Championship,6,2.333,0.667,0.0,0.5,0.5,0.0,0.0,0.5
1905,British Home Championship,6,3.167,1.5,0.667,0.0,0.333,0.0,0.0,0.5
1905,Friendly,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1906,British Home Championship,6,3.333,1.667,0.167,0.667,0.167,0.0,0.0,0.5
1906,Friendly,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1907,British Home Championship,6,2.333,1.0,0.5,0.167,0.333,0.0,0.0,0.5
1907,Friendly,3,4.0,2.0,0.667,0.333,0.0,0.0,0.0,1.0
1908,British Home Championship,6,3.833,2.5,0.167,0.667,0.167,0.0,0.0,0.5
1908,Copa Lipton,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1908,Copa Newton,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1908,Copa Premio Honor Argentino,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1908,Friendly,11,6.0,4.0,0.455,0.545,0.0,0.0,0.0,0.818
1909,British Home Championship,6,3.833,2.5,0.833,0.167,0.0,0.0,0.0,0.5
1909,Copa Lipton,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1909,Copa Newton,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1909,Copa Premio Honor Argentino,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1909,Friendly,9,6.111,2.778,0.222,0.556,0.222,0.0,0.0,1.0
1909,Muratti Vase,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1910,British Home Championship,6,2.0,1.333,0.667,0.167,0.167,0.0,0.0,0.5
1910,Copa Lipton,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1910,Copa Premio Honor Argentino,2,5.0,2.0,0.0,0.5,0.5,0.0,0.0,1.0
1910,Friendly,9,4.333,2.778,0.667,0.333,0.0,0.0,0.0,1.0
1910,Muratti Vase,2,6.5,3.5,0.5,0.5,0.0,0.0,0.0,0.0
