team_name,team_model_name,group_letter,country_code,squad_status,source_player_count,team_player_power_rank,shirt_number,position,player_name,is_captain,age,caps,international_goals,squad_club,matched_clubs,competitions,club_matches_played,club_starts,club_minutes,club_goals,club_assists,club_yellow_cards,club_red_cards,club_fouls_committed,club_crosses,club_tackles_won,club_interceptions,has_club_player_stats,club_goal_contribution_per_90,club_yellow_cards_per_90,club_fouls_committed_per_90,player_power_raw,player_power_z,player_star_power_index
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,1,,FW,Lautaro Martínez,False,28,75,36,Inter Milan,Inter,it Serie A,30.0,27.0,2159.0,17.0,6.0,4.0,0.0,47.0,17.0,13.0,6.0,True,0.958,0.167,1.958,3.555,2.253,83.8
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,2,,FW,Julián Alvarez,False,26,51,14,Atlético Madrid,Atlético Madrid,es La Liga,29.0,22.0,1895.0,8.0,4.0,2.0,0.0,14.0,86.0,13.0,3.0,True,0.569,0.095,0.664,3.142,1.791,76.9
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,3,,MF,Enzo Fernández,False,25,40,6,Chelsea,Chelsea,eng Premier League,36.0,35.0,3115.0,10.0,4.0,10.0,0.0,36.0,89.0,24.0,20.0,True,0.405,0.289,1.04,3.136,1.785,76.8
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,4,,MF,Alexis Mac Allister,False,27,44,6,Liverpool,Liverpool,eng Premier League,37.0,31.0,2658.0,2.0,4.0,7.0,0.0,35.0,20.0,27.0,18.0,True,0.203,0.237,1.186,3.016,1.651,74.8
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,5,,DF,Cristian Romero,False,28,49,3,Tottenham Hotspur,Tottenham Hotspur,eng Premier League,23.0,22.0,1868.0,4.0,1.0,11.0,2.0,32.0,1.0,30.0,31.0,True,0.24,0.529,1.538,2.863,1.48,72.2
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,6,,FW,Nicolás González,False,28,50,6,Atlético Madrid,Atlético Madrid; Juventus,it Serie A; es La Liga,26.0,18.0,1467.0,5.0,0.0,4.0,1.0,28.0,27.0,16.0,11.0,True,0.307,0.245,1.718,2.861,1.478,72.2
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,7,,MF,Giovani Lo Celso,False,30,65,4,Real Betis,Real Betis,es La Liga,24.0,15.0,1393.0,2.0,3.0,4.0,0.0,9.0,61.0,13.0,6.0,True,0.323,0.258,0.581,2.855,1.471,72.1
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,8,,FW,Lionel Messi,True,38,198,116,Inter Miami CF,Inter Miami CF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,2.712,1.311,69.7
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,9,,DF,Nicolás Tagliafico,False,33,75,1,Lyon,Lyon,fr Ligue 1,20.0,14.0,1310.0,0.0,3.0,5.0,2.0,36.0,20.0,14.0,17.0,True,0.205,0.342,2.466,2.703,1.301,69.5
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,10,,DF,Nahuel Molina,False,28,58,1,Atlético Madrid,Atlético Madrid,es La Liga,26.0,13.0,1331.0,2.0,2.0,4.0,0.0,14.0,49.0,24.0,14.0,True,0.27,0.27,0.946,2.657,1.25,68.8
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,11,,MF,Guido Rodríguez,False,32,30,1,Valencia,Valencia; West Ham United,eng Premier League; es La Liga,22.0,16.0,1489.0,4.0,0.0,5.0,0.0,23.0,5.0,27.0,12.0,True,0.242,0.303,1.394,2.475,1.047,65.7
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,12,,GK,Emiliano Martínez,False,33,59,0,Aston Villa,Aston Villa,eng Premier League,32.0,32.0,2835.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,0.032,0.063,0.0,2.437,1.005,65.1
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,13,,MF,Giuliano Simeone,False,23,11,1,Atlético Madrid,Atlético Madrid,es La Liga,31.0,25.0,2099.0,4.0,6.0,2.0,0.0,21.0,48.0,25.0,20.0,True,0.429,0.086,0.901,2.374,0.934,64.0
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,14,,MF,Thiago Almada,False,25,14,4,Atlético Madrid,Atlético Madrid,es La Liga,27.0,16.0,1311.0,3.0,1.0,2.0,1.0,13.0,40.0,18.0,9.0,True,0.274,0.137,0.89,2.335,0.89,63.3
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,15,,MF,Exequiel Palacios,False,27,38,0,Bayer Leverkusen,Leverkusen,de Bundesliga,18.0,12.0,1099.0,0.0,1.0,3.0,0.0,6.0,2.0,9.0,10.0,True,0.082,0.246,0.492,2.195,0.734,61.0
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,16,,DF,Lisandro Martínez,False,28,26,1,Manchester United,Manchester Utd,eng Premier League,18.0,13.0,1233.0,0.0,0.0,0.0,1.0,9.0,2.0,11.0,12.0,True,0.0,0.0,0.657,2.112,0.642,59.6
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,17,,MF,Nicolás Domínguez,False,27,11,1,Nottingham Forest,Nottingham Forest,eng Premier League,27.0,17.0,1175.0,1.0,1.0,3.0,0.0,16.0,14.0,30.0,6.0,True,0.153,0.229,1.221,2.035,0.555,58.3
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,18,,DF,Nicolás Otamendi,False,38,130,8,Benfica,Benfica,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,2.009,0.527,57.9
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,19,,DF,Leonardo Balerdi,False,27,11,0,Marseille,Marseille,fr Ligue 1,26.0,21.0,2001.0,0.0,1.0,5.0,0.0,23.0,2.0,28.0,27.0,True,0.045,0.225,1.036,1.995,0.511,57.7
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,20,,DF,Marcos Senesi,False,29,3,0,Bournemouth,Bournemouth,eng Premier League,37.0,37.0,3288.0,0.0,5.0,8.0,0.0,35.0,28.0,34.0,50.0,True,0.137,0.219,0.959,1.942,0.452,56.8
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,21,,FW,Alejandro Garnacho,False,21,8,0,Chelsea,Chelsea,eng Premier League,24.0,14.0,1268.0,1.0,4.0,2.0,0.0,9.0,61.0,13.0,4.0,True,0.355,0.142,0.638,1.893,0.396,55.9
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,22,,MF,Valentín Barco,False,21,2,1,Strasbourg,Strasbourg,fr Ligue 1,27.0,24.0,2168.0,2.0,4.0,5.0,1.0,24.0,103.0,33.0,14.0,True,0.249,0.207,0.996,1.84,0.337,55.1
Argentina,Argentina,J,ARG,preliminary_or_reduced,55,23,,MF,Máximo Perrone,False,23,2,0,Como,Como,it Serie A,36.0,33.0,2742.0,3.0,4.0,8.0,0.0,43.0,11.0,38.0,21.0,True,0.23,0.262,1.41,1.828,0.324,54.9
