team_name,polymarket_market_name,polymarket_outright_probability,polymarket_best_bid,polymarket_best_ask,polymarket_last_trade_price,polymarket_market_slug,polymarket_event_url,polymarket_snapshot_at
Algeria,Algeria,0.0015,0.001,0.002,0.001,will-algeria-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Argentina,Argentina,0.0855,0.085,0.086,0.085,will-argentina-win-the-2026-fifa-world-cup-245,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Australia,Australia,0.0015,0.001,0.002,0.001,will-australia-win-the-2026-fifa-world-cup-816,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Austria,Austria,0.0055,0.005,0.006,0.005,will-austria-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Belgium,Belgium,0.0175,0.017,0.018,0.017,will-belgium-win-the-2026-fifa-world-cup-358,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Bosnia and Herzegovina,Bosnia-Herzegovina,0.0025,0.002,0.003,0.002,will-bosnia-herzegovina-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Brazil,Brazil,0.0935,0.093,0.094,0.093,will-brazil-win-the-2026-fifa-world-cup-183,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Cabo Verde,Cape Verde,0.0005,,0.001,0.001,will-cape-verde-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Canada,Canada,0.0035,0.003,0.004,0.003,will-canada-win-the-2026-fifa-world-cup-755,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Colombia,Colombia,0.0175,0.017,0.018,0.017,will-colombia-win-the-2026-fifa-world-cup-734,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
